,2024-01-1,16.6,37.3,0,,,SE,30,11:55,30.0,16,,ESE,13,1012.8,36.3,8,,SSW,9,1008.1
,2024-01-2,19.0,42.5,0,,,WNW,37,15:29,34.0,13,,ENE,19,1008.9,41.0,9,,NNW,13,1003.8
,2024-01-3,25.2,38.7,0,,,WSW,43,14:34,33.4,21,,WSW,17,1007.9,37.2,19,,SW,19,1006.4
,2024-01-4,24.4,39.4,0,,,S,43,01:00,24.7,58,,WSW,28,1012.5,38.0,17,,SSW,13,1007.6
,2024-01-5,27.3,39.4,0,,,S,56,22:21,33.3,32,3,ENE,24,1010.1,38.6,18,8,SW,9,1006.6
,2024-01-6,23.6,38.7,1.2,,,WSW,48,16:51,25.8,58,,SSE,9,1011.0,38.6,23,2,WSW,19,1004.8
,2024-01-7,25.2,41.0,0.6,,,,,,31.6,43,, ,Calm,1008.4,37.4,23,,SW,7,1004.8
,2024-01-8,23.1,35.7,20.2,,,,,,28.2,69,,,,1010.6,30.3,51,,,,1006.6
,2024-01-9,23.3,38.0,0,,,,,,29.9,32,,,,1010.0,37.3,15,,,,1005.1
,2024-01-10,20.7,38.2,0.4,,,,,,31.3,22,1,,,1009.6,37.3,11,,,,1006.0
,2024-01-11,22.1,40.8,0,,,,,,33.6,24,,,,1008.2,39.3,15,4,,,1004.3
,2024-01-12,22.3,39.8,0,,,,,,30.6,50,,,,1006.7,38.1,23,,,,1001.7
,2024-01-13,26.4,40.0,0,,,,,,32.5,42,,,,1006.3,37.5,21,3,,,1002.4
,2024-01-14,24.3,40.8,0,,,,,,34.2,25,,,,1006.0,38.7,19,,,,1002.4
,2024-01-15,25.7,40.7,0,,,,,,34.4,30,,,,1004.0,39.7,16,,,,999.9
,2024-01-16,27.0,37.8,0,,,,,,34.9,34,,,,1001.4,36.3,30,7,,,998.2
,2024-01-17,25.2,37.3,0,,,,,,26.7,71,,,,1003.2,35.9,34,4,,,998.9
,2024-01-18,24.1,37.1,0.8,,,,,,26.0,67,,,,1003.1,35.7,33,8,,,999.5
,2024-01-19,25.2,38.1,2.0,,,,,,29.6,51,,,,1002.5,36.8,31,5,,,997.9
,2024-01-20,26.1,34.3,0,,,,,,30.0,60,,,,1002.9,33.6,44,,,,999.8
,2024-01-21,25.7,37.2,0,,,,,,30.7,58,,,,1004.2,36.2,33,1,,,1000.5
,2024-01-22,27.7,40.6,0,,,,,,30.8,63,,,,1004.7,39.9,26,5,NE,28,1000.9
,2024-01-23,28.3,42.7,0,,,ENE,48,14:45,33.1,46,,NW,15,1006.3,41.0,20,,NNE,22,1001.9
,2024-01-24,29.6,42.9,0,,,ESE,50,17:44,36.0,31,7,NNW,15,1006.7,40.9,22,5,,,1003.2
,2024-01-25,26.1,42.1,12.2,,,NW,54,22:18,30.8,60,,SW,2,1007.3,41.3,24,,WSW,17,1002.0
,2024-01-26,23.4,38.7,2.8,,,SSW,59,02:07,27.2,71,7,NNE,4,1006.4,37.2,34,,S,35,1002.3
,2024-01-27,23.0,36.7,0,,,SSE,43,14:57,28.1,29,8,SSE,20,1007.9,35.8,17,,S,28,1004.4
,2024-01-28,20.9,38.4,0,,,S,41,17:50,29.6,16,,E,24,1007.9,37.0,14,,SSE,15,1004.0
,2024-01-29,20.5,41.0,0,,,SSE,50,14:47,33.0,12,,E,13,1007.7,39.8,10,,S,28,1004.1
,2024-01-30,21.0,41.9,0,,,ESE,67,13:21,33.7,14,,E,19,1008.9,41.6,11,,SSE,30,1005.6
,2024-01-31,26.4,39.2,0,,,SSE,61,15:08,32.8,17,,SE,33,1011.5,38.5,12,,S,39,1008.1
