,2024-12-1,25.0,36.0,0,,,N,31,14:53,29.0,75,,NW,11,1007.4,34.0,57,8,N,22,1003.3
,2024-12-2,25.8,36.5,0,,,SE,54,23:39,30.2,78,5,W,17,1007.0,35.2,50,1,W,13,1002.7
,2024-12-3,22.6,34.6,42.8,,,ESE,28,00:08,27.7,81,8,E,7,1006.6,33.7,60,,NW,17,1002.9
,2024-12-4,23.1,35.7,9.8,,,SE,50,02:13,28.2,76,,SW,7,1006.3,35.2,47,1,SW,11,1002.3
,2024-12-5,25.8,34.9,0,,,,,,30.4,75,7,SE,4,1006.6,32.0,63,8,SE,11,1002.3
,2024-12-6,,33.8,,,,,,,25.6,92,,,,1003.5,32.1,66,7,WSW,6,1004.0
,2024-12-7,,35.5,,,,E,50,17:56,28.6,80,8,E,19,1009.1,34.6,53,1,ENE,15,1004.4
,2024-12-8,24.2,36.2,0,,,ENE,67,16:36,29.6,70,,ESE,9,1008.7,35.4,49,1,E,19,1004.3
,2024-12-9,24.9,36.4,0,,,ENE,70,18:13,30.2,75,8,E,11,1008.4,34.4,51,8,E,13,1003.9
,2024-12-10,24.6,36.3,0,,,NE,30,12:33,29.7,72,5,E,17,1008.2,35.1,52,5,E,15,1004.4
,2024-12-11,25.3,38.6,0,,,NW,30,18:09,30.2,76,2,NNW,7,1007.7,37.1,32,,NNE,6,1004.0
,2024-12-12,27.5,29.8,0,,,SSE,59,10:29,27.7,87,8,WSW,9,1007.6,26.0,91,6,ENE,4,1003.5
,2024-12-13,23.2,37.2,20.4,,,NNW,24,20:43,29.6,78,,WNW,7,1006.3,35.9,48,3,ESE,9,1001.6
,2024-12-14,25.1,39.4,0,,,WNW,26,11:30,30.6,71,,W,15,1006.2,37.8,40,,SW,7,1002.8
,2024-12-15,24.7,36.7,0,,,NW,30,23:08,29.9,72,,W,13,1006.1,36.0,49,,WNW,13,1002.6
,2024-12-16,25.6,38.3,0,,,SW,33,13:30,29.6,76,,WNW,13,1006.0,37.1,42,,SW,11,1001.7
,2024-12-17,26.5,39.0,0,,,NNW,50,18:58,31.2,76,1,WNW,17,1004.5,38.1,49,3,WSW,15,1000.4
,2024-12-18,23.1,37.4,30.8,,,SSE,35,00:04,28.0,83,2,SSW,9,1003.6,35.3,56,,ESE,7,999.6
,2024-12-19,23.1,35.7,3.2,,,SSE,37,00:48,26.1,88,8,ESE,9,1004.3,32.9,60,7,NW,7,1000.3
,2024-12-20,26.1,36.8,0.2,,,N,57,20:53,30.0,74,6,WNW,20,1003.5,34.8,55,8,WNW,15,1000.3
,2024-12-21,21.7,35.7,61.6,,,SSE,28,00:13,25.0,91,7,E,4,1005.0,34.7,47,,E,4,1002.3
,2024-12-22,24.8,37.3,0.2,,,SE,50,19:10,30.1,75,,NW,9,1006.4,36.3,51,,WSW,13,1002.0
,2024-12-23,23.9,35.6,4.4,,,NNE,43,18:02,26.6,85,8,WNW,9,1007.1,34.6,55,1,SSW,7,1004.3
,2024-12-24,23.2,33.9,4.8,,,NE,33,23:07,25.9,89,7, ,Calm,1007.3,31.6,64,8,SE,11,1005.8
,2024-12-25,23.7,36.4,0,,,WNW,24,16:58,28.0,73,2,NW,9,1010.2,35.1,48,7,WNW,11,1007.5
,2024-12-26,26.3,37.3,0.2,,,NW,26,17:09,30.4,77,,WNW,7,1010.2,35.8,48,,NW,2,1006.6
,2024-12-27,24.3,37.2,0,,,SW,28,11:33,30.6,67,, ,Calm,1010.5,35.8,48,1,N,7,1006.5
,2024-12-28,25.0,37.5,0,,,ENE,26,16:53,30.6,69,,NW,4,1010.0,36.5,43,2,ESE,9,1005.9
,2024-12-29,26.0,37.3,0,,,NNW,22,10:08,30.0,69,,NNW,7,1011.2,36.4,48,,SE,4,1007.1
,2024-12-30,25.5,36.9,0,,,NE,61,14:21,30.8,66,3,WNW,7,1011.6,34.6,61,1,WNW,6,1007.1
,2024-12-31,23.8,37.7,20.6,,,E,30,14:39,27.9,79,,S,4,1010.8,36.8,31,,ESE,22,1006.4
