,2024-05-1,22.8,29.8,0.6,,,S,39,01:14,26.4,74,,S,24,1015.1,29.0,66,2,SE,28,1012.7
,2024-05-2,22.8,29.1,,,,,,,25.8,78,8,S,19,1016.1,25.3,82,8,S,20,1013.4
,2024-05-3,22.4,28.4,10.0,,,SSE,46,12:35,24.2,88,8,SSE,20,1014.9,24.7,87,8,SSE,17,1012.5
,2024-05-4,22.1,28.9,3.6,,,SE,43,10:01,26.0,76,,SSE,20,1013.8,28.1,65,,SE,28,1011.0
,2024-05-5,22.2,29.4,0,,,SE,44,12:54,25.5,80,7,S,17,1013.6,28.4,66,,SE,22,1011.2
,2024-05-6,21.4,29.3,0.4,,,SSE,39,12:32,26.2,72,,SSE,19,1014.7,28.6,62,,SE,28,1011.6
,2024-05-7,21.1,29.1,1.2,,,SE,48,17:05,24.4,84,8,S,17,1014.5,27.4,66,7,SE,30,1012.6
,2024-05-8,22.4,28.8,3.0,,,SE,46,13:03,25.2,83,8,SSE,19,1015.5,25.9,77,8,SE,28,1013.5
,2024-05-9,22.5,27.2,12.6,,,SSE,41,13:44,24.7,84,4,S,17,1017.0,23.8,87,8,SSE,15,1015.0
,2024-05-10,22.4,26.1,2.6,,,S,37,00:55,24.3,82,8,SSE,17,1017.1,24.7,80,6,S,19,1015.1
,2024-05-11,21.7,27.6,5.6,,,SE,48,14:15,24.6,86,3,SSE,20,1017.2,26.2,75,8,SSE,31,1014.6
,2024-05-12,21.6,28.0,6.0,,,SE,41,12:18,23.0,91,8,S,17,1016.3,27.5,64,,SE,26,1013.4
,2024-05-13,19.7,,0.6,,,,,,25.4,75,,SSE,20,1015.6,27.7,65,8,SE,28,1012.5
,2024-05-14,22.4,29.0,,,,SE,43,14:53,24.9,83,6,SSE,15,1016.9,26.5,79,8,SE,33,1014.8
,2024-05-15,22.7,29.0,1.8,,,SE,46,12:58,25.8,78,8,S,20,1017.9,28.4,68,1,SE,31,1015.4
,2024-05-16,21.9,28.8,4.2,,,SE,52,14:10,24.2,86,5,SSE,19,1018.0,26.6,74,6,SE,35,1015.1
,2024-05-17,21.7,28.7,1.0,,,SE,48,11:34,25.4,76,4,SSE,24,1016.9,27.8,64,,SE,31,1013.2
,2024-05-18,22.3,28.4,0,,,SE,52,10:14,25.0,73,8,SSE,22,1015.4,27.7,59,,SE,28,1012.2
,2024-05-19,17.6,27.8,0,,,SE,56,10:43,24.4,68,,SSE,20,1014.3,26.1,49,,SE,35,1012.2
,2024-05-20,18.2,26.9,0,,,SE,39,12:34,21.6,61,7,SSE,20,1016.9,24.8,60,8,SSE,20,1014.3
,2024-05-21,21.4,26.1,0,,,SSE,44,02:05,23.5,75,7,SSE,28,1016.3,24.1,70,8,SSE,24,1015.0
,2024-05-22,18.4,27.9,0,,,ESE,50,15:30,23.4,80,6,SSE,17,1017.0,27.2,63,4,SE,30,1014.5
,2024-05-23,21.4,28.3,3.0,,,SE,52,12:14,24.4,79,8,SE,26,1017.2,27.1,62,,SE,35,1014.9
,2024-05-24,20.8,26.8,6.8,,,SE,50,12:08,23.7,81,8,S,15,1017.1,24.5,76,8,S,17,1015.4
,2024-05-25,21.0,27.2,0.6,,,SE,50,12:28,23.6,82,8,S,19,1018.4,25.1,72,8,SSE,22,1015.5
,2024-05-26,21.1,27.6,3.6,,,SSE,46,11:03,22.8,88,8,SSE,13,1018.3,25.0,75,8,SE,31,1016.0
,2024-05-27,20.8,26.1,4.2,,,SSE,48,13:19,23.0,84,8,S,17,1017.9,23.6,80,8,SSE,22,1015.8
,2024-05-28,21.0,27.9,6.2,,,SE,50,11:58,22.4,89,8,S,19,1018.8,24.5,80,8,SE,30,1015.6
,2024-05-29,21.1,26.5,6.4,,,SE,41,10:13,24.0,82,8,SSE,17,1018.4,24.5,81,8,S,17,1016.3
,2024-05-30,21.5,27.6,3.2,,,SE,44,12:38,24.1,80,8,SSE,15,1018.8,27.0,70,8,SE,30,1016.5
,2024-05-31,21.7,28.3,2.0,,,ESE,33,13:00,24.4,86,2,S,15,1018.8,27.7,71,1,SE,15,1015.0
