,2024-04-1,18.1,28.7,0,,,,,,21.2,86,,N,4,1020.8,27.3,65,,NE,30,1017.2
,2024-04-2,19.2,25.5,,,,NNE,43,02:12,22.1,79,,NNE,24,1012.8,21.0,93,,N,22,1010.9
,2024-04-3,16.1,23.6,5.4,,,S,33,14:40,17.7,66,,W,7,1018.1,22.7,75,,S,28,1017.9
,2024-04-4,17.7,20.0,1.6,,,SSE,50,08:41,19.5,96,,S,28,1022.7,18.6,98,,ESE,7,1022.4
,2024-04-5,17.7,21.2,68.0,,,E,65,22:41,19.7,95,,SSW,22,1023.1,20.3,96,,ENE,30,1019.8
,2024-04-6,18.7,27.8,112.2,,,,,,19.7,90,,NW,6,1015.1,26.6,55,,NW,11,1012.4
,2024-04-7,17.1,27.0,,,,,,,19.9,82,,NNW,6,1012.5,25.1,74,,ENE,15,1007.8
,2024-04-8,17.4,24.4,,,,S,31,12:55,21.7,67,,WSW,4,1011.3,23.2,74,,SSE,20,1009.2
,2024-04-9,16.9,23.1,0,,,SSW,78,17:14,20.6,69,,WSW,9,1009.6,18.1,,,SSW,50,1007.9
,2024-04-10,12.8,19.7,2.0,,,S,61,14:54,16.1,66,,SW,26,1014.4,19.1,64,,S,44,1014.1
,2024-04-11,14.3,21.1,0,,,S,41,12:54,18.8,58,,SW,11,1019.8,20.5,63,,S,30,1018.9
,2024-04-12,14.5,24.9,0,,,S,26,11:04,19.2,75,,SW,11,1022.0,22.5,60,,SE,13,1018.8
,2024-04-13,16.1,25.7,0,,,NNE,22,20:57,20.3,82,,SSW,7,1021.5,23.1,71,,E,13,1019.6
,2024-04-14,17.1,24.4,0,,,NNE,35,19:44,20.3,86,,SW,4,1023.0,23.7,74,,ENE,13,1020.5
,2024-04-15,17.1,25.0,0.2,,,SSE,24,14:02,20.5,88,,SSW,11,1023.2,24.2,68,,SSE,19,1020.5
,2024-04-16,17.6,24.1,,,,,,,20.3,86,,SSW,15,1023.8,23.8,69,,SSE,19,1020.9
,2024-04-17,17.4,23.7,8.8,,,SSW,26,13:55,20.1,88,,SW,6,1024.3,23.1,78,,S,19,1020.7
,2024-04-18,17.1,23.1,1.2,,,S,37,17:33,17.6,93,,WSW,4,1018.4,22.5,79,,SE,17,1013.6
,2024-04-19,14.0,20.9,1.0,,,SE,69,18:04,17.0,67,,WSW,9,1016.4,19.5,74,,S,20,1016.9
,2024-04-20,14.9,20.5,120.8,,,S,70,19:47,17.5,94,,S,24,1022.3,17.1,95,,S,15,1023.6
,2024-04-21,15.6,21.4,57.0,,,S,63,00:23,20.4,69,,SSE,24,1027.7,20.4,77,,S,26,1025.9
,2024-04-22,16.3,,2.0,,,,,,18.7,80,,SW,11,1028.4,21.2,73,,S,20,1026.2
,2024-04-23,15.9,26.0,,,,NNE,52,19:05,21.0,73,,NNW,7,1025.7,23.1,75,,NE,28,1020.5
,2024-04-24,16.6,25.7,0,,,S,70,18:14,21.4,74,,NNW,13,1017.4,24.4,56,,NNW,4,1015.0
,2024-04-25,15.9,20.7,0,,,S,41,01:53,18.1,70,,SW,15,1019.9,20.1,61,,S,19,1018.5
,2024-04-26,14.1,20.0,0,,,SSW,44,10:49,16.2,71,,SW,13,1023.0,19.6,65,,SSW,22,1022.3
,2024-04-27,13.8,23.2,0.2,,,NNE,22,20:45,15.5,87,,W,9,1027.5,20.8,71,,E,11,1025.4
,2024-04-28,15.5,25.5,0.6,,,NNE,44,19:50,20.3,78,,NNW,7,1027.4,23.1,75,,NE,20,1024.0
,2024-04-29,15.9,27.0,0,,,NNE,33,20:22,19.7,84,, ,Calm,1024.6,23.3,76,,NNE,19,1021.2
,2024-04-30,15.9,20.8,0,,,S,63,17:05,19.2,84,,WSW,13,1024.5,17.7,92,,SSE,48,1023.6
