"Daily Weather Observations for Launceston, Tasmania for September 2024"
"Prepared at 16:03 UTC on Saturday 16 November 2024   IDCJDW7025.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,9.1,14.2,10.0,,,NNW,98,23:02,10.7,85,8,NW,22,,13.6,61,6,NW,31,
,2024-09-2,8.1,11.8,24.6,,,NNW,87,00:01,9.5,67,8,WNW,15,,11.6,59,1,W,17,
,2024-09-3,4.6,15.6,0.2,,,NNW,31,15:06,9.4,67,,N,9,,14.0,63,6,NNW,19,
,2024-09-4,7.5,15.1,0,,,NNW,50,13:33,11.8,86,8,NW,11,,13.8,73,8,NNW,28,
,2024-09-5,11.4,16.0,3.2,,,NNW,41,11:39,13.1,87,8,NNW,17,,15.9,72,8,NNW,19,
,2024-09-6,12.7,14.8,19.0,,,NW,52,12:55,13.3,96,8,NW,13,,14.7,87,8,NNW,26,
,2024-09-7,5.2,14.0,5.8,,,NNW,52,12:47,11.4,75,1,NNW,13,,12.8,79,6,NNW,28,
,2024-09-8,9.1,13.3,0,,,NW,57,14:19,11.4,89,8,NNW,20,,12.3,83,8,NW,30,
,2024-09-9,7.7,15.4,3.6,,,NW,39,14:37,11.4,66,,NNW,22,,14.4,59,8,NW,17,
,2024-09-10,7.7,15.9,0,,,NNW,44,14:11,12.3,81,3,NNW,19,,14.9,69,4,NNW,28,
,2024-09-11,11.5,16.0,0.2,,,NNW,43,00:58,13.9,82,8,NNW,20,,12.3,90,8,SE,13,
,2024-09-12,1.6,15.4,4.6,,,NNW,33,17:23,7.2,77,,N,2,,14.7,53,3,NNW,17,
,2024-09-13,6.4,16.6,0,,,NNW,33,13:27,10.9,93,7,NNW,6,,13.0,90,8,NW,4,
,2024-09-14,2.5,13.3,5.0,,,SE,59,17:30,9.2,58,,ESE,15,,11.1,46,1,SSE,22,
,2024-09-15,2.0,12.9,0,,,NNW,37,15:40,7.9,68,,NE,4,,11.8,54,,NNW,24,
,2024-09-16,5.7,,0,,,S,37,11:54,12.3,64,8,W,6,,,,,S,13,
,2024-09-17,7.0,15.4,0,,,NW,50,17:36,11.1,65,,NW,20,,14.7,55,1,NW,20,
,2024-09-18,9.7,14.0,0,,,NNW,61,12:47,12.9,61,6,NW,31,,11.3,69,8,NW,15,
,2024-09-19,4.0,13.5,1.4,,,NW,67,13:12,10.0,74,5,NNW,19,,12.8,53,8,WNW,24,
,2024-09-20,5.2,13.6,0,,,NW,59,15:17,10.7,64,1,NNW,22,,12.7,69,8,NNW,20,
,2024-09-21,6.1,14.3,0.8,,,NW,44,11:00,10.3,62,,NNW,20,,13.3,65,5,NNW,20,
,2024-09-22,10.1,17.2,0,,,NW,50,11:28,12.9,70,8,NNW,20,,16.2,52,2,NNW,24,
,2024-09-23,12.1,18.4,0,,,NNW,61,08:58,14.7,73,8,NW,37,,16.6,32,,WSW,22,
,2024-09-24,3.3,13.6,0,,,NNW,44,20:24,7.8,66,8,NNE,2,,11.1,92,8,NW,9,
,2024-09-25,7.7,15.7,3.0,,,NNW,46,01:48,11.9,71,7,ENE,6,,14.6,41,8,S,15,
,2024-09-26,1.6,,0,,,,,,8.6,59,5,ENE,6,,,,3,,,
,2024-09-27,,,0,,,,,,,,,ENE,4,,,,,NW,20,
,2024-09-28,,,0,,,NW,30,13:47,,,1,NNW,11,,,,,NW,13,
,2024-09-29,,,0,,,NNW,69,10:26,,,,NNW,26,,,,8,NNW,15,
,2024-09-30,,17.7,6.5,,,NNW,43,13:29,,,,WNW,15,,16.7,61,8,NNW,24,
