"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2024"
"Prepared at 13:01 UTC on Monday 11 August 2025   IDCJDW3033.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,14.2,20.4,0.2,,,NNW,61,22:12,15.6,60,,NNW,24,1003.9,19.1,52,,NNW,20,1002.4
,2024-09-2,9.5,13.5,2.8,,,SW,74,02:47,10.6,55,,WNW,20,1010.1,9.4,75,,W,13,1016.8
,2024-09-3,8.3,16.8,2.4,,,NNW,24,10:39,11.7,69,,NW,9,1030.8,16.4,49,,S,7,1028.6
,2024-09-4,9.6,19.6,0,,,N,57,09:20,13.3,58,,N,28,1023.9,17.5,47,,N,22,1018.2
,2024-09-5,13.3,21.0,0.2,,,N,54,04:39,17.4,41,,N,22,1014.8,16.0,59,,N,22,1014.0
,2024-09-6,14.1,24.5,1.6,,,N,56,07:02,20.2,37,,N,26,1010.0,18.5,66,,W,7,1012.7
,2024-09-7,10.0,20.0,0,,,NW,31,12:27,13.5,63,,NNW,11,1024.4,19.2,33,,WNW,13,1021.5
,2024-09-8,11.0,18.1,0,,,N,46,12:06,13.9,61,,NNW,17,1018.8,17.1,50,,NNW,24,1014.2
,2024-09-9,10.9,17.6,2.4,,,NW,37,10:59,13.5,56,,NW,13,1018.0,16.2,46,,WNW,20,1017.8
,2024-09-10,7.3,20.2,0.2,,,N,41,12:47,12.7,68,,NNE,6,1024.1,19.7,45,,NNW,20,1021.2
,2024-09-11,11.8,19.6,0,,,SSW,33,20:52,16.2,59,,SW,6,1021.9,14.5,85,,S,6,1020.6
,2024-09-12,9.3,14.3,8.2,,,SSW,35,13:25,12.6,53,,SE,15,1030.5,13.6,60,,SSW,17,1030.3
,2024-09-13,10.0,15.6,0,,,SSW,28,15:20,13.1,75,,WSW,9,1030.1,15.4,64,,S,9,1027.3
,2024-09-14,9.1,10.8,3.4,,,S,46,12:30,9.2,88,,SSW,17,1028.1,9.7,66,,S,11,1029.2
,2024-09-15,5.9,13.0,2.2,,,SSW,35,15:18,10.5,61,,SE,11,1035.7,12.1,52,,SSW,19,1035.2
,2024-09-16,8.8,14.4,0,,,SSW,43,11:32,11.9,63,,WSW,13,1031.4,13.7,71,,SW,11,1029.9
,2024-09-17,10.2,15.0,1.4,,,WSW,26,06:52,10.6,64,,WSW,7,1028.4,14.3,54,,SSW,13,1023.7
,2024-09-18,5.1,20.8,0,,,NW,48,12:48,12.8,49,,N,17,1015.6,20.1,27,,NW,22,1009.4
,2024-09-19,10.9,16.4,0.4,,,NW,43,10:02,13.8,59,,WNW,13,1008.7,14.0,59,,WSW,15,1007.4
,2024-09-20,8.7,18.3,1.4,,,W,50,18:15,12.7,61,,NNW,13,1009.3,17.6,45,,NNW,15,1004.6
,2024-09-21,10.9,17.5,6.4,,,NW,39,14:25,12.4,69,,NW,13,1010.2,17.0,45,,NNW,15,1008.4
,2024-09-22,11.6,20.3,0.2,,,WNW,33,11:02,14.7,63,,NW,9,1014.2,19.9,40,,WNW,11,1013.0
,2024-09-23,11.1,18.3,0.2,,,NW,31,11:36,15.2,62,,N,15,1017.7,18.0,54,,NW,11,1017.5
,2024-09-24,10.4,25.3,0,,,N,39,12:35,16.9,60,,N,17,1016.0,23.3,37,,SW,9,1011.2
,2024-09-25,13.7,14.3,1.2,,,S,39,10:03,14.3,97,,SW,6,1011.9,11.3,91,,S,7,1013.8
,2024-09-26,9.0,13.8,7.8,,,S,39,06:10,12.1,57,,S,15,1025.6,12.3,58,,S,17,1026.6
,2024-09-27,8.5,15.7,0.2,,,SSW,26,14:13,12.7,52,,ESE,11,1029.8,14.5,56,,SSW,15,1026.7
,2024-09-28,6.8,22.0,0,,,N,44,10:13,15.7,52,,N,19,1025.6,21.7,37,,NNE,20,1020.0
,2024-09-29,15.6,17.3,0,,,N,54,08:31,15.6,59,,NNW,24,1018.2,15.3,81,,N,13,1016.6
,2024-09-30,7.7,18.6,5.2,,,WSW,24,09:49,15.1,63,,N,7,1023.0,18.1,53,,SSE,6,1021.5
