"Daily Weather Observations for Moree, New South Wales for September 2024"
"Prepared at 13:00 UTC on Monday 11 August 2025   IDCJDW2084.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,10.5,31.9,0,,,NW,35,14:09,20.6,53,,ENE,15,1017.3,30.9,36,,NW,11,1012.8
,2024-09-2,12.1,27.0,0,,,SW,46,12:22,20.1,51,,WSW,13,1020.1,26.6,21,,SW,30,1018.0
,2024-09-3,3.6,21.4,0,,,S,35,00:06,14.3,45,,NNW,6,1029.3,21.0,26,,SW,17,1026.3
,2024-09-4,6.6,23.6,0,,,ENE,35,02:22,14.3,53,,NE,20,1030.1,23.0,32,,E,15,1025.0
,2024-09-5,9.4,24.9,0,,,NNE,39,09:05,18.2,59,,NNE,24,1028.8,24.3,36,,NE,11,1024.4
,2024-09-6,9.8,25.8,0,,,N,39,08:53,18.4,63,,N,26,1028.5,24.5,41,,N,22,1024.1
,2024-09-7,10.9,30.0,0,,,NW,33,12:22,20.1,60,,NNE,20,1026.3,29.4,33,,NW,13,1021.9
,2024-09-8,12.9,29.4,0,,,SSW,37,19:54,21.9,49,1,NNE,17,1021.5,28.6,36,,SSW,17,1018.1
,2024-09-9,13.7,23.2,0,,,SW,31,13:14,17.5,50,8,S,15,1020.7,19.9,37,8,SSW,24,1019.3
,2024-09-10,5.4,26.8,0,,,ENE,26,23:33,17.4,55,,ENE,7,1024.4,26.4,23,,S,15,1020.7
,2024-09-11,11.8,27.7,0,,,WSW,50,19:00,21.2,66,,NE,26,1025.5,26.7,49,8,N,20,1021.1
,2024-09-12,14.8,21.9,17.0,,,SSW,37,18:58,15.2,99,8,SSE,13,1020.7,20.7,69,4,SSW,9,1018.1
,2024-09-13,9.0,22.9,2.4,,,ESE,43,08:21,17.4,62,,ESE,31,1023.4,21.8,47,,S,24,1021.4
,2024-09-14,6.5,22.3,0,,,S,28,15:43,15.7,64,,E,15,1024.3,21.7,41,,SW,9,1020.0
,2024-09-15,5.5,19.7,0,,,S,56,16:39,14.2,62,,SSW,20,1023.4,18.9,36,,SSW,33,1021.2
,2024-09-16,2.0,21.3,0,,,S,44,14:17,14.1,51,,ESE,24,1028.0,20.8,25,,SSW,30,1024.0
,2024-09-17,1.8,22.6,0,,,,,,14.2,46,,ENE,7,1025.4,21.9,25,,SW,11,1021.3
,2024-09-18,5.9,25.6,0,,,,,,16.4,57,,,,1022.9,24.5,27,,,,1017.0
,2024-09-19,7.3,28.4,0,,,W,57,14:00,19.7,48,,NNE,19,1015.4,27.7,14,,W,30,1010.1
,2024-09-20,4.5,27.5,0,,,WSW,50,15:01,19.7,33,,NNE,17,1013.3,26.4,15,,SW,22,1009.5
,2024-09-21,6.2,24.9,0,,,WSW,41,14:25,19.8,35,,SSW,19,1015.1,24.6,20,,WSW,19,1012.3
,2024-09-22,5.3,25.8,0,,,SW,41,12:38,18.8,44,,ENE,9,1019.5,25.5,23,,SW,22,1017.3
,2024-09-23,6.7,28.2,0,,,E,28,06:55,20.2,37,,NE,11,1022.3,27.8,18,,SW,13,1018.7
,2024-09-24,9.3,29.2,0,,,NNE,33,08:33,21.1,50,,NNE,24,1022.0,27.5,27,7,NNE,17,1017.3
,2024-09-25,14.4,29.8,0,,,NNE,48,11:46,20.3,59,7,NNE,33,1019.2,28.8,25,,N,26,1013.0
,2024-09-26,17.9,19.4,0,,,NE,30,07:03,18.2,79,8,NNE,20,1014.6,18.1,89,8,WSW,2,1013.8
,2024-09-27,12.1,18.2,4.8,,,S,41,13:24,16.4,74,7,SE,15,1018.5,15.7,80,8,S,30,1017.6
,2024-09-28,8.9,24.7,5.8,,,SE,33,08:42,17.9,55,,SE,24,1022.3,23.0,41,5,S,19,1017.5
,2024-09-29,9.3,28.0,0.2,,,E,35,10:04,21.9,57,,ESE,17,1019.8,26.7,42,,NW,9,1015.7
,2024-09-30,14.0,28.1,0,,,S,50,10:12,23.8,60,5,S,28,1018.7,26.1,31,4,S,28,1015.9
