"Daily Weather Observations for Mount Gambier, South Australia for January 2025"
"Prepared at 16:02 UTC on Thursday  7 August 2025   IDCJDW5041.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,6.8,21.3,0,,,SW,48,14:03,16.7,67,8,SW,15,1019.1,19.0,64,8,SSW,28,1019.7
,2025-01-2,6.8,22.9,0,,,SSE,44,13:24,18.1,50,7,SE,20,1024.8,22.1,37,,SSE,28,1022.7
,2025-01-3,6.5,31.9,0,,,S,37,15:40,16.5,61,,E,20,1018.5,30.1,14,,N,11,1013.6
,2025-01-4,10.7,35.5,0,,,W,56,13:44,25.4,32,1,N,11,1011.0,31.7,14,4,W,35,1010.4
,2025-01-5,20.9,34.2,0,,,W,41,13:58,27.5,28,7,NNW,17,1010.9,24.8,45,7,W,30,1010.7
,2025-01-6,13.5,20.3,9.6,,,S,50,14:54,15.4,75,8,S,26,1020.2,18.4,49,1,SSE,33,1022.0
,2025-01-7,9.7,23.8,0,,,SSE,46,13:41,17.0,59,8,SE,28,1025.1,22.5,56,3,SSE,28,1022.4
,2025-01-8,10.0,31.5,0,,,SW,35,13:29,19.2,65,,NNE,17,1017.7,28.6,34,,SSW,26,1013.5
,2025-01-9,16.4,29.9,0,,,SSW,39,15:45,20.2,78,8,S,13,1013.6,28.2,47,,S,19,1012.3
,2025-01-10,15.6,34.5,0,,,S,46,14:18,23.5,63,,SSE,6,1015.7,34.2,25,,S,24,1012.6
,2025-01-11,13.5,35.9,0,,,SSW,46,13:21,23.0,58,,ESE,7,1010.7,32.8,23,,S,31,1007.4
,2025-01-12,15.2,30.9,0,,,S,43,15:40,19.1,85,8,SE,22,1009.4,30.2,27,,S,20,1007.1
,2025-01-13,14.4,31.8,0,,,S,39,16:01,20.3,72,2,SSE,17,1008.4,30.7,30,,SSW,17,1006.2
,2025-01-14,13.3,35.5,0,,,S,41,15:13,21.2,67,,ESE,13,1008.7,33.7,21,,ESE,7,1002.9
,2025-01-15,17.4,22.3,0,,,SW,59,13:35,18.1,81,8,W,24,1001.8,21.1,39,8,SW,35,1004.5
,2025-01-16,8.5,23.0,0.2,,,W,37,10:58,17.7,63,5,WSW,13,1013.3,20.6,54,8,W,22,1014.8
,2025-01-17,13.6,27.1,0.2,,,SE,46,15:42,18.6,89,8,SSE,11,1020.7,26.5,46,,S,26,1019.8
,2025-01-18,11.3,34.3,0,,,S,44,17:31,20.4,59,,E,20,1020.2,33.5,18,,NE,11,1016.6
,2025-01-19,13.9,36.5,0,,,W,41,13:47,25.8,30,,N,19,1015.6,32.9,17,,WSW,30,1013.6
,2025-01-20,16.0,31.0,0,,,,,,19.3,86,7,WNW,20,1012.1,28.0,46,7,SSW,30,1009.9
,2025-01-21,17.8,26.5,,,,,,,22.9,61,,SSE,22,1010.0,24.4,52,2,S,31,1009.2
,2025-01-22,14.5,24.1,,,,SSE,50,11:27,18.3,66,8,SSE,30,1015.1,22.6,43,2,SSE,31,1015.2
,2025-01-23,9.7,18.1,0,,,S,37,15:32,14.3,66,6,SE,15,1012.2,16.3,70,8,SSE,19,1011.3
,2025-01-24,7.7,24.6,0.4,,,W,41,13:40,16.1,77,8,W,13,1014.7,22.1,48,8,WSW,20,1013.8
,2025-01-25,12.2,25.9,0.2,,,W,37,13:35,18.2,70,8,NW,11,1014.7,24.9,43,1,SW,26,1014.3
,2025-01-26,14.4,31.6,0,,,E,33,08:01,18.5,71,4,E,24,1015.6,30.6,26,1,SE,7,1010.9
,2025-01-27,18.3,37.5,0,,,NNW,65,09:54,31.3,25,,N,33,1002.4,27.1,52,1,SW,31,1004.0
,2025-01-28,14.2,25.0,0,,,SSW,44,07:21,19.3,50,6,SSW,33,1017.5,22.5,50,7,SSW,28,1018.8
,2025-01-29,12.0,23.1,0,,,SSW,44,15:24,17.1,49,8,SSE,20,1021.1,21.1,38,1,SSW,26,1019.2
,2025-01-30,14.4,23.6,0,,,S,41,13:30,17.5,51,8,SSW,20,1017.9,22.1,40,4,SSW,22,1017.6
,2025-01-31,8.5,25.2,0,,,S,43,15:29,18.5,55,8,S,15,1020.5,24.1,40,,SSE,28,1019.1
