"Daily Weather Observations for Cobar, New South Wales for November 2024"
"Prepared at 13:00 UTC on Saturday  9 August 2025   IDCJDW2029.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,9.7,28.0,0,,,S,41,13:31,20.0,34,,SSE,7,1015.8,26.3,15,,S,17,1013.6
,2024-11-2,12.5,32.5,0,,,NNE,35,11:45,21.8,30,,E,9,1018.2,30.4,9,,N,11,1014.2
,2024-11-3,19.5,37.9,0,,,NW,43,12:28,25.4,19,,N,20,1013.6,37.0,5,,W,15,1010.3
,2024-11-4,23.4,31.3,0,,,SSW,43,08:54,24.2,34,8,SW,20,1014.6,29.9,22,7,S,13,1012.1
,2024-11-5,15.1,34.4,0.2,,,SW,33,14:11,24.8,27,,E,13,1014.3,32.8,12,,SW,19,1011.2
,2024-11-6,22.3,41.7,0,,,NW,70,16:54,24.5,29,,NE,11,1012.3,39.6,9,,NNW,31,1006.7
,2024-11-7,25.0,26.8,0,,,SSW,70,17:51,26.0,36,8,SSW,17,1010.9,24.5,43,8,ESE,13,1008.4
,2024-11-8,11.4,29.7,2.4,,,NNW,35,13:49,19.9,59,, ,Calm,1014.8,28.1,23,,WSW,19,1012.8
,2024-11-9,13.2,29.7,0,,,ESE,31,08:31,21.4,28,,ESE,17,1018.2,28.6,12,2,NNE,9,1016.0
,2024-11-10,15.6,31.8,0,,,SSE,28,08:11,23.2,19,,SE,17,1020.0,30.5,16,,E,15,1016.2
,2024-11-11,20.5,23.0,0,,,E,26,07:16,22.1,51,8,E,9,1017.6,22.6,58,8,N,11,1016.6
,2024-11-12,13.7,30.4,0.6,,,SW,37,19:08,20.7,72,3,N,6,1015.3,28.4,34,3,N,9,1011.2
,2024-11-13,18.0,33.7,0,,,WSW,48,14:06,27.3,36,,NNW,17,1010.7,32.3,22,2,WSW,22,1007.8
,2024-11-14,14.7,30.3,0,,,S,39,14:56,24.9,32,,S,13,1015.4,29.4,15,,S,19,1013.1
,2024-11-15,13.7,33.2,0,,,ESE,28,07:35,24.1,17,,ESE,15,1016.8,31.6,6,,SSE,13,1013.7
,2024-11-16,20.7,37.4,0,,,NE,48,22:49,26.3,48,,NNE,26,1015.5,36.6,18,2,NNE,22,1011.8
,2024-11-17,26.0,36.6,0,,,N,63,07:46,28.4,43,3,N,35,1010.5,23.9,65,8,WSW,22,1006.3
,2024-11-18,16.7,28.6,1.6,,,SSE,37,04:10,18.4,36,1,S,19,1018.1,26.8,12,,S,20,1016.2
,2024-11-19,12.7,31.1,0,,,S,39,13:48,22.4,27,,ESE,19,1019.7,29.2,11,,SSE,17,1016.6
,2024-11-20,16.5,33.4,0,,,N,39,15:02,24.1,54,,NE,19,1019.3,31.5,22,1,E,15,1016.4
,2024-11-21,18.2,33.2,0,,,NE,41,07:19,28.4,37,,NE,20,1021.2,32.2,20,,NE,20,1017.6
,2024-11-22,18.2,34.8,,,,,,,26.4,45,,N,20,1021.3,33.4,18,2,ENE,17,1017.5
,2024-11-23,20.3,37.1,0,,,N,56,12:47,27.7,41,,N,22,1019.0,35.0,15,3,N,19,1015.1
,2024-11-24,23.3,38.4,0,,,N,37,09:53,30.3,28,,NNW,22,1015.5,36.6,10,,N,13,1010.0
,2024-11-25,25.2,38.4,0,,,NNW,48,09:07,29.3,27,,N,26,1011.2,36.4,16,4,NNE,20,1007.6
,2024-11-26,23.9,34.9,0,,,W,35,13:02,28.5,31,8,NNE,11,1009.3,28.3,59,8,E,6,1006.8
,2024-11-27,20.9,27.5,5.6,,,W,46,21:26,20.9,95,8,N,13,1009.4,21.6,100,8,NNE,13,1009.0
,2024-11-28,17.4,32.1,21.8,,,S,35,11:58,21.9,73,,ESE,7,1012.4,31.5,35,,NNW,11,1011.1
,2024-11-29,21.9,28.5,0.2,,,ENE,26,02:15,22.1,82,,NNE,15,1013.7,27.4,55,8,NE,4,1011.2
,2024-11-30,19.8,31.2,3.4,,,WSW,30,15:24,21.1,92,8,SSW,6,1007.8,28.3,49,3,WSW,13,1005.5
